New	Neu
AOL Instant Messenger(SM) cannot send this message because you have blocked the recipient. You can change this setting on the Privacy tab of the Preferences dialog.	AOL Instant Messenger(SM) kann diese Mitteilung nicht abschicken, weil Sie den Empfänger gesperrt haben. Sie können diese Einstellung über das Register "Privatsphäre" im Voreinstellungen-Dialog ändern.
The screen name '%s' is not valid.	Der AIM-Name  '%s' ist nicht zulässig.
Your buddy is using an AOL client (most likely Mac AOL v2.5) that cannot receive messages from AOL Instant Messenger. Your buddy can upgrade to a newer client to receive messages from AIM.	Ihr Buddy verwendet einen AOL-Client (wahrscheinlich Mac AOL v2.5), der keine Mitteilungen von AOL Instant Messenger empfangen kann. Ihr Buddy kann auf einen neueren Buddy aufrüsten, um Mitteilungen von AIM empfangen zu können.
Enter the screen name of the user you\r\nwish to get info about:	Bitte geben Sie den AIM-Namen der Person ein,\r\nüber die Sie Informationen erhalten möchten:
Buddy Info: %s	Buddy-Info: %s
Please wait...	Bitte warten Sie...
No Information Provided	Keine Informationen verfügbar
Note: AOL member profiles are not accessible through AOL Instant Messenger.	Hinweis: Auf AOL-Mitgliedsprofile kann über AOL Instant Messenger nicht zugegriffen werden.
EVil rating: %d	Warnstufe: %d
EVil rating: -	Warnstufe: -
Personal Profile:	Persönliches Profil:
recent ScreenNames	Aktuelle AIM-Namen
Personal Profile	Persönliches Profil
Please enter a valid screen name.	Bitte geben Sie einen gültigen AIM-Namen ein.
Buddy Info for <B>%s</B> is not available.	Keine Buddy-Info zu <B>%s</B> verfügbar
Unknown error.	Unbekannter Fehler
You do not have rights to\r\nperform this task.	Sie sind nicht berechtigt,\r\ndiesen Befehl auszuführen.
Unable to get profile info.  Error code %d	Das Profil kann nicht gefunden werden.  Fehlercode %d
Can't display Profile data.\r\nUnsupported MIME type: %s	Das Profil kann nicht angezeigt werden.\r\nNicht unterstützter MIME-Typ: %s
Service unavailable.	Der Service ist nicht verfügbar.
The Personal Profile you have entered is too long.\r\nThe limit is %d characters. You have entered\r\n%d characters (including any needed markup).	Das erstellte persönliche Profil ist zu lang.\r\nDas Limit ist %d Zeichen. Sie haben %d Zeichen eingegeben (einschließlich der Formatierung).
Are you sure you want to remove the message?	Möchten Sie diese Mitteilung wirklich entfernen?
* The profile could not be loaded because it is too long.  The limit is %d characters including markup.	* Das Profil konnte nicht geladen werden. Es enthält mehr als %d Zeichen (einschließlich der Formatierung).
* The profile may contain characters that are not displayable on this system.	* Das Profil enthält möglicherweise Zeichen, die von diesem System nicht angezeigt werden können.
The screen name or password you entered is not valid.	Der eingegebene AIM-Name oder das Passwort ist ungültig.
The AOL Instant Messenger (SM) service is temporarily unavailable.	Der AOL Instant Messenger(SM)-Service ist vorübergehend nicht verfügbar.
The password you entered is not valid.	Das eingegebene Passwort ist ungültig.
Internal client error: bad input to authorizer	Interner Fehler: Falsche Eingabe für Autorisierung
Your account is no longer active.	Ungültiger Zugang
Bad reservation status	Interner Verbindungsfehler: Falscher Reservierungsstatus
Connection lost.  Check your Internet connection.	Verbindung getrennt. Überprüfen Sie Ihre Internet-Verbindung.
The AIM service can't be reached.	Keine Verbindung zum Internet gefunden. Bitte überprüfen Sie Ihre Internet-Verbindung, und versuchen Sie es erneut.
Invalid host address	Ungültige Host-Adresse
A service did not start properly	Ein Dienst wurde nicht korrekt gestartet.
Unknown server error	Unbekannter Server-Fehler
A password is required	Die Eingabe des Passwortes ist erforderlich.
Server error during authorization	Server-Fehler während der Autorisierung
You must be online to perform that operation	Bitte melden Sie sich an, damit Sie diese Aktion ausführen können.
Internal client error: send to bad group	Interner Fehler: An falsche Gruppe gesendet.
Internal server error: send to bad group	Interner Server-Fehler: An falsche Gruppe gesendet.
Bad sequence number received	Interner Verbindungsfehler: Falsche Sequenznummer empfangen
Proxy lookup failed	Proxy-Suche gescheitert
Proxy connect failed	Proxy-Verbindung gescheitert
Proxy negotiate failed	Proxy-Aushandlung gescheitert
Proxy authenticate failed	Verbindungsfehler: Proxy-Autorisierung gescheitert
Proxy request failed	Proxy-Anfrage gescheitert
Signon timeout	Anmeldung unterbrochen
The session has terminated because you signed on with this screen name at another location.	Ihre AOL Instant Messenger-Verbindung wurde beendet, da Sie sich von einem anderen Computer aus angemeldet haben.
Server error: missing or insufficient reconnect info	Verbindungsfehler: Fehlende oder unzulässige Reconnect-Information
Cannot sign on twice from the same IP address	Es besteht bereits eine Verbindung von dieser IP-Adresse.
You are already signed on at another location	Sie sind bereits bei AIM von einem anderen Standort angemeldet.
Signon failed due to rate limiting	Aufgrund der Überschreitung der Warngrenze ist keine Anmeldung möglich.
Authorizer temporarily offline	Interner Fehler: Autorisierer ist zur Zeit offline.
Suspended account	Dieser Zugang ist ungültig.
Internal server error: DB send error	Interner Server Fehler: DB-Senden-Fehler
Internal server error: DB link error	Interner Server Fehler: DB-Verknüpfungsfehler
Internal server error: reservation map error	Interner Server-Fehler: Map-Fehler
Internal server error: reservation link error	Interner Server-Fehler: Link-Fehler
Already connected from this IP address	Es besteht bereits eine Verbindung von dieser IP-Adresse.
Already connecting from this IP address	Es wird bereits eine Verbindung von dieser IP-Adresse aufgebaut.
You are attempting to sign on again too soon.  Please try again later.	Ihre Anmeldung wurde abgelehnt. Bitte versuchen Sie es später erneut.
You have too many warnings to sign on	Sie können sich zur Zeit nicht anmelden. Sie haben zu viele Verwarnungen erhalten.
Your account has been deleted	Ihr Zugang zu AIM wurde deaktiviert.
Internal server error: reservation timeout	Interner Server-Fehler: Timout
You've been warned by %s.  Your warning level has increased from %d%% to %d%%.	Sie wurden von %s  verwarnt. Ihre Warnstufe wurde von  %d%% auf %d%% erhöht.
You've been warned by another user.  Your warning level has increased from %d%% to %d%%.	Sie wurden von anderen Nutzern verwarnt. Ihre Warnstufe wurde von %d%% auf %d%% erhöht.
Warning Received	Warnung erhalten
You performed an action too many times in a short period.	Ihre Anmeldung wurde abgelehnt.
Rate limiting occured during sign on.  Try again later.	Die Warngrenze wurde während der Anmeldung erreicht. Bitte versuchen Sie es später erneut.
Client internal error: build number out of range.	Interner Fehler: Buildnummer ist im ungültigen Bereich.
Connection refused by proxy	Verbindung wurde vom Proxy abgelehnt.
Test Release	Test-Release
winsock.dll	winsock.dll
wsock32.dll	wsock32.dll
AIM is unable to find %s in your path.  Add the directory containing %s to your path or connect to your Internet Service Provider before starting AIM.	AIM konnte %s in Ihrem Pfad nicht finden. Fügen Sie das Verzeichnis mit %s zu Ihrem Pfad hinzu, oder stellen Sie eine Verbindung zu Ihrem Internet Serviceprovider her, bevor Sie AIM starten.
Click Ok to continue or Cancel to exit AIM.	Klicken Sie auf "OK", um fortzufahren, oder auf "Abbrechen, um AIM zu beenden.
Unable to connect to Internet.\nPlease connect to the Internet manually and then click OK.	Es kann keine Verbindung zum Internet hergestellt werden.\nBitte stellen Sie die Verbindung manuell her, und bestätigen Sie mit "Ok".
www.aol.com/aim	www.aol.com/aim
The e-mail address you entered is not a valid e-mail address.\nPlease check the address and try again.	Die eingegebene Adresse ist keine gültige eMail-Adresse.\nBitte überprüfen Sie die Adresse, und versuchen Sie es erneut.
AIM Offline	AIM Offline
Users:	Benutzer:
%d people here	%d Personen anwesend
1 person here	1 Person anwesend
en	de
Whisper	Flüstern
0	0
Your message was refused by the AOL Instant Messenger server, probably because the message was too big. Try making the message shorter and send it again.	Ihre Mitteilung wurde vom AOL Instant Messenger-Server abgelehnt, wahrscheinlich, weil sie zu lang war. Versuchen Sie, die Mitteilung zu kürzen, und schicken Sie sie erneut.
Your buddy is using an AOL client which cannot receive your invitation.	Ihr Buddy verwendet einen AOL-Client, der Ihre Einladung nicht empfangen kann.
Direct Instant Message	Direktes Telegramm
%s direct connection is closed	%s direkte Verbindung ist geschlossen.
You already have an Away message with this label.\r\nPlease use a unique label.	Sie haben bereits eine Abwesenheits-Mitteilung mit diesem Titel.\r\nBitte verwenden Sie einen anderen Titel.
SendIM	SendIM
AddToBuddyList	AddToBuddyList
RegisterNewUserAndSignOn	RegisterNewUserAndSignOn
RegisterNewUser	RegisterNewUser
VisitChatRoom	VisitChatRoom
Insert Picture	Bild einfügen
* IM IMAGES *	* IM-GRAFIKEN *
You already have an Instant Message window open with this buddy; you must use that window.	Sie haben bereits ein Telegrammfenster mit diesem Buddy geöffnet. Bitte verwenden Sie dieses Fenster.\\r\\n
[Unknown]	[Unbekannt]
%d Point<BR>at %d%%	%d Zeigen<BR>auf %d%%
%d Point<BR>%s	%d Zeigen<BR>%s
You are invited to:	Sie sind eingeladen zu:
Go Chat	Chat
Unable to join the chat room\r\n"%s"\r\n\r\nNo response from the Service.	Chat-Raum "%s"\r\n kann nicht betreten werden.\r\n\r\nKeine Antwort vom Dienst erhalten.
In order to join Chat room '%s' you will\r\nbe removed from room '%s'.	Wenn Sie den Raum '%s' betreten, verlassen Sie\r\nautomatisch Raum '%s'.
The host is obsolete and cannot support this client.  Either connect to a newer host or use an older client.	Der Host ist zu alt und unterstützt diesen Client nicht. Stellen Sie entweder eine Verbindung zu einem anderen Host her,oder wählen Sie einen älteren Client.
The room name "%s" is too short.  Please enter a longer name.	Der Raumname "%d" ist zu kurz. Bitte geben Sie einen längeren Namen ein.
First Name	Vorname
Invite Group to Chat Room...	Gruppe in Chat-Raum einladen...
Last Name	Nachname
"%s" is an invalid screen name.	"%s" ist ein ungültiger AIM-Name.
%s - Invitation	%s - Einladung
%s is not a valid Screen Name.	%s ist kein gültiger AIM-Name.
Buddy Chat room:	Name Ihres Chat-Raums:
Screen names to invite (separated by commas):	Eingeladene AIM-Namen:
Your directory entry is identical to other existing directory entries. Please enter additional information to make your directory entry unique.	Ihr Verzeichniseintrag ist identisch mit einem schon existierenden. Bitte geben Sie einen anderen Namen ein.
We could not process your request for a search.  The most likely cause is the server is not available at this time.  Please try again later.	Ihre Suchanfrage konnte nicht bearbeitet werden. Der Server ist zur Zeit nicht verfügbar. Bitte versuchen Sie es später erneut.
We could not file your directory entry.  The most likely cause is the server is not available at this time.  Please try again later.	Ihr Verzeichniseintrag konnte nicht gespeichert werden. Der Server ist zur Zeit nicht verfügbar. Bitte versuchen Sie es später erneut.
Buddy Chat Invitation	Einladung zum Chat von:
%s's warning level: %d%%	%ss Warnstufe: %d%%
Join me in this Buddy Chat.	Sie sind zu folgendem Chat eingeladen:
%s Chat	%s Chat
By sending this invitation you are exposing yourself to Warnings.	Das Verschicken dieser Einladung kann durch eine Warnung beantwortet werden.
Right-click on a name for options	Zum Anzeigen der Optionen, klicken Sie mit der rechten Maustaste auf einen Namen.
Increased %s's warning level by %d%%.\r\nIt is now at %d%%.	Erhöhe %ss Warnstufe um %d%%.\r\nSie ist nun bei %d%%.
You have just entered room "%s."	Sie haben Raum "%s" betreten.
Invite a buddy	Buddy einladen
Do Not Ignore	Nicht ignorieren
In order to join another chat room you must leave the one you are in.\r\nClick OK to close %s.	Um einen anderen Chat-Raum zu betreten, verlassen Sie den Raum, in dem Sie sich jetzt befinden.\r\nKlicken Sie auf Ok, um  %s zu verlassen.
Please enter the names of the people you would like to\r\ninvite to your Chat Room.	Bitte geben Sie die Namen der Personen ein, die Sie gerne\r\nin Ihren Chat-Raum einladen möchten.
us	de
Sorry, Chat is not available at this time.	Chat ist zur Zeit nicht verfügbar.
Chat Room: %s	Chat-Raum: %s
Please enter a room name.	Geben Sie einen Namen für den Chat-Raum ein.
MS Sans Serif	MS Sans Serif
Chat	Chat
The room name "%s" contains invalid characters.\r\nPlease enter a new name.\r\n\r\nThe name must contain only alpha-numeric characters\r\nand spaces, and it must not start with a number.	Der Name "%s" enthält ungültige Zeichen.\r\nBitte geben Sie einen neuen Namen ein.\r\n\r\nDer Name darf nur alphanumerische Zeichen und Leerzeichen enthalten.\r\nEr darf nicht mit einer Zahl beginnen.
Wildcard searches ( * * ) are not allowed.	Suche mit Platzhaltern ( * * ) ist nicht möglich.
There have been too many recent signons from your site.  Please try again later.	Sie haben sich in letzter Zeit zu oft angemeldet. Bitte versuchen Sie es später nochmal.
Buddy Chat invitations can not be sent to the following people because they are signed on through AOL.  You can only chat with people signed on through AOL Instant Messenger (SM).	Buddy Chat-Einladungen können nicht an folgende Personen geschickt werden, da diese über AOL angemeldet sind. Sie können nur mit Personen chatten, die über AOL Instant Messenger(SM) angemeldet sind.
The room name is too long.  It must be %d characters or less.	Der Raumname ist zu lang. Er darf nur maximal %d Zeichen enthalten.
Invalid room name.  The name you submitted may be too\r\nlong or contain invalid characters.	Falscher Raumname. Der eingegebene Name ist entweder zu lang\r\noder enthält ein ungültiges Zeichen.
Room "%s" does not exist.	Der Raum "%s" existiert nicht.
Sorry, the chat message you sent was too long.\r\nIt was not received by the other users of the chat room.	Die Chat-Mitteilung, die Sie versendet haben, war zu lang.\r\nDie Mitteilung wurde von keinem Benutzer in diesem Chat-Raum empfangen.
Error: %s	Fehler: %s
[Buddy Chat invite placeholder URL]	[Chat-Einladung Platzhalter URL]
Invited:	Eingeladen:
<B>%s</B>'s software could not interpret your Chat invitation.	<B>%s</B>s Software kann Ihre Chat-Einladung nicht bearbeiten.
<B>%s</B>'s software does not support Chat.  As a result, this buddy can not accept your Chat room invitation.	<B>%s</B>s Software unterstützt kein Chat, daher kann dieser Buddy Ihre Chat-Einladung nicht annehmen.
<B>%s</B> is away right now and will not be able to accept your invitation until he or she returns.	<B>%s</B> ist momentan abwesend und nicht in der Lage, Ihre Einladung zu bestätigen.
<B>%s</B> declined your Chat invitation.	<B>%s</B> hat Ihre Chat-Einladung abgelehnt.
Chat Room Invitation Response	Antwort auf Chat-Raum Einladung
Chat service is not available.	Chat-Dienst ist nicht verfügbar.
<B>%s</B> is not available.	<B>%s</B> ist nicht verfügbar.
Paste Plaintext	Text einfügen
Directory Info: %s	Verzeichnis-Info: %s
